record_id,message_length,num_code_terms,num_text_terms_parts,min_length_text_terms,max_length_text_terms,avg_length_text_terms
2714,11,88,1,11,11,11
4832,15,17,1,15,15,15
3185,6,256,1,6,6,6
1792,3,816,5,3,93,55
206,11,193,5,11,76,35
560,4,17,1,4,4,4
6943,8,404,1,8,8,8
5292,5,902,1,5,5,5
4198,5,236,1,5,5,5
5286,14,3241,1,14,14,14
574,6,519,3,6,47,28
6957,5,42,1,5,5,5
1786,10,883,1,10,10,10
4826,12,600,1,12,12,12
3191,4,83,1,4,4,4
1976,12,107,1,12,12,12
3807,8,114,2,8,24,16
548,7,235,1,7,7,7
3813,3,31,1,3,3,3
1962,14,66,1,14,14,14
1751,17,42,1,17,17,17
1989,9,7,1,9,9,9
3146,13,443,1,13,13,13
4629,14,2711,1,14,14,14
5537,9,29,1,9,9,9
2258,12,645,1,12,12,12
5251,8,102,4,8,50,28
3620,6,166,1,6,6,6
6980,12,463,1,12,12,12
6758,4,227,1,4,4,4
1037,24,900,1,24,24,24
6994,3,52,1,3,3,3
1023,4,1800,1,4,4,4
5245,13,523,2,13,64,38
3634,5,88,1,5,5,5
3152,9,228,1,9,9,9
5523,8,621,1,8,8,8
1745,16,87,1,16,16,16
4615,15,274,2,15,33,24
2264,11,52,1,11,11,11
6002,43,294,1,43,43,43
6764,29,120,1,29,29,29
2502,22,65,3,22,109,66
4173,4,760,2,4,58,31
2516,18,877,2,18,20,19
5279,22,588,2,22,52,37
4167,3,50,1,3,3,3
3608,1,21,1,1,1,1
6770,26,851,1,26,26,26
1779,9,183,5,9,79,38
6016,24,817,1,24,24,24
4601,11,215,1,11,11,11
2270,22,95,2,22,34,28
4171,7,73,1,7,7,7
2500,8,91,2,8,89,48
1009,28,1758,1,28,28,28
6766,18,154,1,18,18,18
6000,12,174,1,12,12,12
2266,55,666,7,48,271,113
5509,5,35,1,5,5,5
4617,15,39,2,15,23,19
3178,5,1784,1,5,5,5
2272,18,51,1,18,18,18
4603,17,78,2,17,27,22
6014,7,570,2,7,72,39
589,4,834,1,4,4,4
6772,12,43,1,12,12,12
4165,5,57,1,5,5,5
2514,10,898,1,10,10,10
1035,7,2043,1,7,7,7
6982,2,165,1,2,2,2
3622,2,1562,3,2,634,368
5253,18,404,1,18,18,18
5535,11,108,1,11,11,11
3144,29,1154,1,29,29,29
1753,8,21,1,8,8,8
6028,22,667,1,22,22,22
1747,16,1281,1,16,16,16
5521,16,221,1,16,16,16
3150,5,81,1,5,5,5
3636,1,12,1,1,1,1
4159,4,110,1,4,4,4
5247,4,1169,70,4,30,24
2528,7,97,1,7,7,7
6996,6,236,5,6,103,41
3805,10,163,3,10,46,27
238,8,31,1,8,8,8
1974,14,23,1,14,14,14
1960,8,92,1,8,8,8
4818,20,114,1,20,20,20
3811,11,450,1,11,11,11
6969,8,1641,1,8,8,8
3839,12,73,2,12,108,60
5290,16,25,1,16,16,16
6941,3,75,1,3,3,3
6799,12,1383,1,12,12,12
204,14,178,2,14,29,21
1790,8,200,2,8,236,122
1948,16,25,1,16,16,16
3187,11,28,1,11,11,11
2299,19,37,2,19,29,24
4830,11,154,1,11,11,11
3193,15,2531,6,15,218,97
4824,10,190,1,10,10,10
1784,12,96,2,12,21,16
210,9,283,1,9,9,9
6955,7,101,1,7,7,7
576,17,1039,1,17,17,17
5284,8,65,1,8,8,8
